sample-id,absolute-filepath,direction
S210421121724,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121724-1-1-1_S135_L001_R1_001.fastq,forward
S210421121724,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121724-1-1-1_S135_L001_R2_001.fastq,reverse
S210421121725,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121725-1-1-1_S137_L001_R1_001.fastq,forward
S210421121725,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121725-1-1-1_S137_L001_R2_001.fastq,reverse
S210421121726,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121726-1-1-1_S139_L001_R1_001.fastq,forward
S210421121726,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121726-1-1-1_S139_L001_R2_001.fastq,reverse
S210421121727,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121727-1-1-1_S141_L001_R1_001.fastq,forward
S210421121727,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121727-1-1-1_S141_L001_R2_001.fastq,reverse
S210421121728,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121728-1-1-1_S143_L001_R1_001.fastq,forward
S210421121728,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121728-1-1-1_S143_L001_R2_001.fastq,reverse
S210421121729,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121729-1-1-1_S130_L001_R1_001.fastq,forward
S210421121729,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121729-1-1-1_S130_L001_R2_001.fastq,reverse
S210421121730,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121730-1-1-1_S132_L001_R1_001.fastq,forward
S210421121730,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121730-1-1-1_S132_L001_R2_001.fastq,reverse
S210421121731,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121731-1-1-1_S134_L001_R1_001.fastq,forward
S210421121731,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121731-1-1-1_S134_L001_R2_001.fastq,reverse
S210421121732,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121732-1-1-1_S136_L001_R1_001.fastq,forward
S210421121732,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121732-1-1-1_S136_L001_R2_001.fastq,reverse
S210421121733,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121733-1-1-1_S138_L001_R1_001.fastq,forward
S210421121733,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121733-1-1-1_S138_L001_R2_001.fastq,reverse
S210421121734,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121734-1-1-1_S140_L001_R1_001.fastq,forward
S210421121734,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210421121734-1-1-1_S140_L001_R2_001.fastq,reverse
S210707163906,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163906-1-1-1_S142_L001_R1_001.fastq,forward
S210707163906,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163906-1-1-1_S142_L001_R2_001.fastq,reverse
S210707163907,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163907-1-1-1_S144_L001_R1_001.fastq,forward
S210707163907,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163907-1-1-1_S144_L001_R2_001.fastq,reverse
S210707163908,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163908-1-1-1_S145_L001_R1_001.fastq,forward
S210707163908,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163908-1-1-1_S145_L001_R2_001.fastq,reverse
S210707163909,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163909-1-1-1_S147_L001_R1_001.fastq,forward
S210707163909,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163909-1-1-1_S147_L001_R2_001.fastq,reverse
S210707163910,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163910-1-1-1_S149_L001_R1_001.fastq,forward
S210707163910,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163910-1-1-1_S149_L001_R2_001.fastq,reverse
