	S210421121673	S210421121674	S210421121675	S210421121676	S210421121688	S210421121689	S210421121690	S210421121698	S210421121699	S210421121700	S210421121701	S210421121702
K07288	0.0	1.1311995731149074	0.0	36.555711161201984	27.96214791204109	55.926269994366855	109.66515931332128	2.7125099711341756	15.37483817699633	30.224547058270907	2.035369563492966	3.6936726026142956
K07289	145.09029973359307	113.44938117774055	347.1709641516307	3054.324295734374	101.27708007311702	215.43590443722937	260.52488960821034	46.20945131937177	223.98343108455788	85.91680194848264	242.28198021302265	15.540523840628037
K07290	163.75030016321801	244.63550391177498	367.83096520033666	48.582877991387605	170.0158886524869	592.9435031807966	422.6154705494867	78.14411413270686	958.9130421166925	134.97447768038438	546.876504478878	96.5883820752698
K07291	0.2336750794534272	3.1057655915640474	0.26895121016436363	61.64740673235774	54.144756344430085	95.75724237732449	184.73933579661653	5.252925373838082	26.094552525952952	50.8245356941698	9.209435571315224	8.16551526974436
K07300	824.568100550081	1234.4372974269495	578.4865566605555	807.1310119910935	6567.872134378965	58562.353788219334	23705.022053031254	4028.1445415678136	1208.1611708006276	488.7093749096049	32882.717409447745	94.7966970541066
K07301	95895.9830335675	222401.81320948357	76668.02612079511	174053.21274088067	28072.304959170797	75624.71516082289	40796.318490741745	5121.474539084296	4732.41490547335	4148.656183611898	36096.853205969266	1099.0149891188723
K07302	64.41946443371909	519.3956696951266	72.97131345083304	2961.211429146063	1521.0049215791855	2299.2417076088313	953.307370082264	202.2210054041755	3077.4602154467225	259.46801185521406	1539.0785853275315	110.26563444530669
K07303	78.33156303572099	538.051992628586	92.91356307039246	2965.9178447066206	1536.6326040522408	2491.9321053725507	1059.407772895236	232.43750990565994	3405.764612606339	291.0220637159432	1699.5828282983357	138.86289106819305
K07304	9839.163899715764	17816.29375499495	1880.4547015319376	17568.361894075937	4108.157989321247	4214.160512178634	3994.2141979691914	715.2966473175599	2778.4338458717884	939.0038554052387	2510.0931393903147	159.28343765340168
K07305	3374.4125997553465	15699.095130460819	6853.925833137527	13445.118561054489	3474.8833326445547	5374.966185441509	4094.8877115969326	646.8611294059851	2188.4685922454837	480.8783267281925	3004.860039340826	98.92804593140806
K07306	863.7170940922116	45057.0657329904	3814.791935358659	9354.03851173883	1098.1902327136243	568.5661991710239	550.179566182203	83.29355178071086	195.1029174528469	807.9001203686597	191.10403746597186	26.440330119732945
K07307	2672.997033854344	45350.212978929165	4184.350859967329	9414.961830104627	979.4577540600483	660.1497620644491	643.3236394839547	104.63767554125717	237.81849366403537	217.80333701126716	280.0575738633771	56.476160015490564
K07308	165.02436349045718	132.7122108406856	343.65112434415613	85.93880677668987	299.04996223773173	281.3766844530607	310.8330081080547	54.21691090610051	48.93998445079443	109.7483793722572	232.72686612590283	15.462668285689013
K07309	137.9323231912022	97.30494785953371	336.748879430975	27.210206472891166	74.1080100368207	156.34000037667934	157.8400003802934	32.12000007738864	25.912926741416044	73.67000017749756	69.82000016822151	15.420000037152333
K07310	137.92000007395959	96.16000005156579	336.6600001805339	26.980000014468022	74.10000003973612	156.3400000838373	157.8400000846417	32.12000001722434	25.910000013894237	73.67000003950554	69.82000003744096	15.420000008268975
K07311	6.564199120375836	9.396110551285592	2.1988239795963365e-06	6.361823070398226	1.537814470026133e-05	8.801514869683516e-05	2.2514718071378364e-05	0.00017245493142885668	0.00056301279909374	0.00010950717814789994	8.899344792575504e-08	9.230058153764272e-14
K07312	137.92	96.16	336.66	26.98	74.1	156.34	157.84	32.12	25.91	73.67	69.82	15.42
K07313	5070.580858210651	2430.368390293726	1370.026931569645	12533.75421100894	5426.429443474986	27734.50784437135	22801.38860886676	704.6822418547499	815.6215766220437	868.6414030353749	2600.740265767774	253.32402417309157
K07314	137.91999999923067	96.15999999946362	336.65999999812215	26.979999999849507	74.09999999958667	156.33999999912794	157.83999999911958	32.119999999820834	25.909999999855476	73.66999999958907	69.81999999961054	15.419999999913987
K07315	26113.51207261478	99262.30012791349	28728.04644309716	45194.57976096905	13620.42130126218	4786.138664971742	5200.479624034608	582.3244322656276	2428.1938321655725	1292.5355783108039	2535.6446042401376	404.9539527695948
K07316	41952.73104937012	167780.40688867695	29788.429169196046	70149.41991210806	10739.648519646129	8517.868096074846	8032.66301166481	797.2875934888466	2171.009209400493	2509.3815105737563	3212.1249319916033	511.5762948236165
K07317	17605.2079267231	17282.144989772674	17909.51211850255	40675.61030986514	6031.300316685435	1891.5712665953338	1669.8621727081722	51.98884498942751	453.8805108982779	312.36774285953453	470.88677360884674	409.3851067440258
K07318	46514.85120919996	34457.89057331389	53051.83782917382	79519.73257990823	15313.528790825781	2176.0604187114004	2376.90454193392	103.12312666841727	747.7204760726188	425.8937798670872	1777.6007953108383	720.1500885544565
K07319	1601.241820580463	133.13737230608058	6028.097085910194	15491.14907328925	238.8260638814831	197.92156214873154	193.28398165681313	39.38233680824305	39.631310813790726	102.34583372512805	252.71555775504518	20.769892804920975
K07320	321.58029973359305	15024.508814754676	1511.5053317339396	3032.832877907344	236.51588842166316	425.7735026937928	338.64051822736724	62.81411403265209	955.9998162454219	139.13447745090016	677.3029680277185	66.72622164071183
K07321	1777.220483724846	29989.79728369559	1589.2776395405426	6557.467941874149	2395.5446961063453	9344.317690451546	8953.138222294037	830.6581078859856	2171.3273230259356	2317.7663598391027	1272.3439575457073	48.563739094784275
K07322	137787.3967536338	313912.7043129984	139028.75751731457	255102.49945600796	18694.10899779467	2953.8218445871007	2490.2174850324072	165.00201115382555	2561.132628223507	415.70098144076405	1185.7872667879656	1023.9143182308303
K07323	321.58029973359305	15299.436578652683	1511.5053317339396	8093.326221739401	243.6965653001509	474.0849398083564	352.2710322488297	77.27864735876352	1288.186306282588	154.41068212540222	783.4317630279451	67.43476777271705
K07326	113.0123808663362	77.3935613342608	68.76739086369946	44.46238113415839	74.90421505116277	692.9354542111414	593.9904888514708	94.19496533613076	218.02664103640566	44.19380499217661	150.71318763515364	0.21221865580643653
K07334	32565.2247200337	53642.81720459224	34461.00129695835	63362.37128628808	3368.389804766425	13119.895256421969	5709.944084646153	957.1315718778444	561.3799822241198	313.65856527550915	6746.669581637446	51.984541297457156
K07335	120172.2697311453	84406.79307850703	14903.492774729028	47537.11466751132	72136.12656697669	405000.66514703946	216961.24459491484	23165.55018821754	7579.50309923701	11042.265263477424	168276.14489577533	2118.3565055756835
K07336	159.37693865030352	199.83505174818617	358.12803224143516	8625.362780177053	166.47626638363	637.2206344221147	375.63472884139395	95.37580145684808	1597.7863060506447	181.13323252027686	986.515167018965	68.14016819328151
K07337	139.96734429918965	108.32723541324664	350.72745021569654	68.42025897922196	109.15600864069533	278.6058046688992	305.99740061351287	50.55143387888854	687.7396137973795	153.44588537783423	360.2305494657064	21.02798910085122
K07338	7.1	19.810000000000002	1.37	3026.8999545532392	20.36598595374275	88.85598595374276	105.06317330871765	16.8	781.3511311699459	55.28	385.7459488290674	0.2116199732685481
K07339	484.01106760629887	14985.430647131088	1548.5194824935024	3285.227991106946	435.3446299433234	305.80843608229594	402.95922303095114	44.567620084675646	205.92236404298257	364.19001637900544	103.67982179388365	44.543296610202425
K07340	145.09141355221558	199.17409352971143	347.17613818132236	5578.924108642478	91.67670796666116	206.21216441757647	258.2418184754574	34.352188322055106	159.48506424484358	89.16953259641312	328.34383043345207	15.586580852309243
K07341	28212.61919396292	21259.18900193125	18689.532946377523	28413.243658618037	3741.8080096688273	8666.452362447033	7647.873801405704	335.79239442476427	664.5758269383296	1388.5862669415314	1063.0899480421906	170.15980394561313
K07343	21322.53716207304	6652.886040599844	1637.1923703662865	11584.00986346513	6007.340152902942	9970.612525771903	9325.930347698706	470.21987110929723	924.1251283554562	1502.0240654188387	960.0178416523778	231.2958011253868
K07344	122.36752200474531	516.658758071258	2.659069138573878	3659.2141799141723	143.23333502892388	371.1661845920104	227.58040657142357	56.71631963018791	249.32541023466578	32.072742540429616	279.4934556625467	4.590690356202071
K07345	717.3294097525329	664.094007600939	1690.6995535582305	176.01317012390632	540.9968290091042	1645.4222883626435	1314.0377668367719	236.74940122897425	527.3431186237314	392.6889472358565	656.5077783055267	72.98941747248118
K07346	728.6553115211711	534.7906569417065	1640.4866754047302	249.59569887597758	2879.052176745901	1589.0623527840385	1558.4746728044856	279.2834676887938	1007.6434517143529	791.8823089560284	962.7514216105932	137.57797626616662
K07347	1069.0814042951156	857.0129565843253	2449.2999850204305	332.40163591483633	3135.614006693057	2344.5029602574514	2159.6959813164453	390.6668675026747	1589.5662354165372	999.0991899071172	1429.4143507732008	193.54780688989112
K07348	270.75981596923515	188.77943695101803	660.9190090597564	52.96846793219409	145.4812133147752	306.9264017586772	309.87229682449765	63.057779546106026	50.86656769794502	144.62782536368573	137.07519687299165	30.2719833228835
K07349	269.45646381980026	187.87071926910346	657.7375521671465	52.713505337996345	144.78096393634476	305.4489795208389	308.38069949802724	62.75424364819529	50.62171666697158	143.9316395106632	136.41539374745844	30.126263411744535
K07350	159.32990772001494	117.4300993421838	380.66426602291693	30.450857429536207	89.00450034182062	190.86579066447865	221.53363180981432	36.25120058275153	82.53038391529807	84.84170803889373	97.3170123421753	17.403053700219804
K07351	365.5101845393271	254.84017811516145	892.2029710677878	71.50246817031734	196.3822358098236	414.32868403307464	418.3044985528764	85.12361485235455	68.66613960254361	195.23805329803668	185.03771378633502	40.865464286685516
K07352	1.2711791540426612e-06	8.862861619253358e-07	13.635003102923244	2.4866889193786984e-07	6.829638581392199e-07	1.4409523560254472e-06	1.4547775353400064e-06	2.96043173055759e-07	2.3880693069348434e-07	6.790006400690463e-07	6.435160131616779e-07	1.4212284335366762e-07
K07353	22.741004338649315	15.855387015694014	55.51034310215835	4.448610042464897	12.218013496910633	25.778194738286214	26.0255229467257	5.29612137005087	4.272182587111397	12.147112743824646	11.51230367549663	2.542533982757921
K07354	137.9195684640757	96.15969912634512	336.65894662931936	26.97991558266214	74.09976814956502	156.33951082999997	157.83950613667133	32.11989950018932	25.909918930569905	73.66976949498591	69.8197815411961	15.41995175258155
K07355	137.91794808762734	96.15856937432024	336.65499132236533	26.979598603568636	74.09889757318146	156.337674043066	157.83765172673364	32.11952213293642	25.909614522552385	73.66890397053007	69.81896124911646	15.419770588103349
K07356	137.87778769540046	96.13056891523861	336.55696059696584	26.971742401550934	74.07732068031595	156.2921500021673	157.7916909066271	32.11016923416664	25.90206988970292	73.64745228770413	69.79863063292387	15.415280497847125
K07357	491.42356961130315	367.3582192378364	1191.7610117131726	101.82859377778567	296.56981424071193	568.790333760522	608.1493184260703	136.91897093178892	140.5987199719679	304.3083259388261	384.91246127041023	59.79204850923003
K07358	370.05217847681706	282.7355045344709	895.4914343159312	78.0870691846286	231.37011748393198	431.2112044756007	469.2698276151174	108.66580178695096	117.82616902106143	239.5019375696216	323.54625285763115	46.04633446231354
K07374	8.954671286727103e-08	5.062458742365295e-07	1.0558093405683469e-07	7.221776745871831e-07	3.3682643858978057e-06	1.685547070022348e-06	2.0444935815207e-06	3.008194921027789e-07	3.115459432697675e-07	4.870958092437866e-07	2.2204711634520626e-06	1.3334060914784123
K07386	108365.6223751657	198120.60503940884	95952.21352169848	193829.41644641617	17398.70953008662	5535.952510607542	6861.698591808146	661.9513472716108	2858.7697159604377	920.1265124261461	2297.6400088369583	837.6658471434373
K07387	51214.681816273136	149803.25856491958	40552.679912015985	74180.90328771944	3695.308013417534	964.2175341073056	731.0784565280057	81.36032474919938	716.4671335806493	186.2324679313909	360.1631583775501	196.11150554321011
K07389	125.27188965609048	100.0008411665705	287.9319620405752	2887.2569753887983	69.10641579458797	149.09202868665176	190.47689898638967	26.88957582581499	95.85539695538657	66.0136056633459	85.09798992145939	12.819897937786832
K07390	189.8156460770048	390.72649676036997	359.5774123973804	6495.680428446177	173.04120998666343	457.3387076489895	385.4872819142792	82.20634579577838	971.9276513722946	168.37486558338608	786.8606246650538	70.64846388361036
K07391	128765.95829501102	179978.00957636596	93415.32826817359	186164.85623884754	39047.6916473525	87381.43309841966	51096.31054773639	5390.846427720462	7054.161702765428	6573.387526906696	37765.42325466222	1670.273479314641
K07393	16995.71066083346	8265.993223933181	874.2748063470518	15072.59251384292	1738.2188902515866	3680.6838297023696	2121.4897913137543	359.5065469651982	487.75129193270396	175.53117938923927	1183.3517989130619	22.395260864267126
K07394	7.16509910816258	21.61388502161244	1.4215010907849552	22.417651325298237	27.9570144307483	62.26417190955169	151.57907756013586	1.9938524400214648	119.6110432111989	22.371460523060076	197.16498234957186	2.9084667119753114
K07395	1.2192521684715985	24.31694145894418	9.97713900635659	3.767824424002974	25.38329584138016	96.11252372142928	37.8115761135205	21.319592843955935	760.55853541336	55.882028281693955	501.87300526524564	1.4211024148586624
K07396	17.464030867634964	45.16645348459887	3.537435317679135	2559.549171391797	115.4580836121707	666.2094602038035	437.69580840169306	75.77408940154008	993.4075835482205	52.01184418922999	634.0273295519794	1.6959662396184656
K07397	8684.811444559697	39149.713086152864	5753.509490137492	25152.556843248905	1015.1052861089481	1246.8504859422994	896.1453301634322	240.8721565309285	2606.381514480891	354.1753299334217	1939.487591968663	138.37482154725035
K07399	206.83662055097915	375.7807622264058	34.39417476721702	1114.5484323462701	1551.9207633800115	1336.6616866259214	715.2060780314157	189.90080444392095	935.4108203236033	163.5986356954443	615.3460607715349	56.35789738147073
K07400	176.97855280472166	132.72473500828778	347.9016999877845	31.515162794039924	85.06701251659403	188.39751922313465	249.86950508892613	32.945291457254434	132.68535437302643	80.75732055969513	241.74320601207808	15.61312183613984
K07401	10.110643472438767	26.303580527847224	17.75088890083831	9.848298298545782	75.90713157863479	86.35521435016358	149.05013703937027	16.03400883180348	193.5576779999581	35.50886020031061	189.31797527195323	3.2222490554732772
K07402	54383.09632652489	22403.875139986794	5369.373622903764	22082.54171166591	31315.580830965213	131995.10290959242	62128.84150520166	9293.329619273643	8232.000132883482	6607.7763272370485	68274.83425426224	950.5847722144965
K07403	21316.125986084386	47364.97159085748	34146.65127616341	44858.48953406341	11459.329105729586	4595.570066525792	3813.8527852240904	512.0253492046361	970.673396192449	455.57131080253737	1943.2152318489016	459.1360359494989
K07404	35292.19785523074	24871.616795082075	3294.17579979094	15235.400841502273	4928.806147777519	9621.51415679656	8480.464441523973	912.8964074558919	4700.061554741446	1944.773029319207	3646.912484623016	214.23841656379443
K07405	81989.3203606476	235435.1377295041	87376.65651389406	161823.38034097682	12532.086628531633	1397.4904574484317	1443.643503097008	23.23694357268422	997.7844939669126	227.08368795081566	711.8616885189317	520.9952778574777
K07406	29259.811767730003	10032.677995986836	2859.0574965909295	5377.635391285245	14786.871309560309	5016.093391849946	6263.571924028191	1207.3318625519776	3531.9324766369173	3235.9954596598727	1927.281005608895	527.4172157918765
K07407	263181.4690040772	598444.4212924504	187077.42547741416	372156.09445365774	62606.70087927547	233242.12630465487	111982.92494897434	14342.98136561571	8248.584372441741	6735.600190404333	114458.44382822058	2317.9674963900898
K07408	7.858041229707017e-05	7.616971244794086e-05	5.6894335937645826e-05	0.00011393571871282688	0.0006053949126613356	0.0002921197041811611	0.0008817732046537115	0.00040729573755868975	0.000850492954274315	0.0007657929224529477	0.0023963037992873527	8.963067258323159e-05
K07427	0.00022068980835291516	0.0002139194584381115	0.0001597853679741201	0.0003199837108544031	0.0017002263458223373	0.00082040599746579	0.002476423244129747	0.0011438730802910003	0.0023885739664323605	0.0021506974620501074	0.006729919209647693	0.0002517240031797818
K07432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6606681540199454e-05
K07442	148.13563033358025	358.13385932825236	12.461341884611393	361.604667071039	2569.5833478487893	1431.9258220358201	1077.1244792029333	211.67199167520081	401.60951432363913	214.0064720923911	193.6741834884917	43.446982592104575
K07443	65126.37664438062	142540.43506669725	38670.391363742274	75378.11318956416	17501.317478149012	57973.767894013436	29532.6982232681	3748.7983017500164	3415.549061807862	3000.948687445197	27675.02229491657	647.3488756989613
K07444	109808.83607221895	198544.24404726303	81452.87602316545	173073.55942729465	32772.370931412224	87042.01664536125	50111.30309345424	5532.327935015044	6143.414846907941	5614.820793318764	37614.27800307318	1474.1417011913948
K07445	115.52424622197688	159.2895151922026	20.28871982441757	1045.0304156455586	788.2398170870031	245.56901973867002	300.86870082541844	90.0321416740699	216.4572275046821	79.37232542752193	189.44937755314425	29.56641906396812
K07447	114731.54073913384	204617.14708183723	93159.57625462496	190552.56140570057	37989.59547535726	90034.59063188765	52275.99623185234	5890.291512336141	6193.554247621751	5851.319024579066	39091.53037184693	1502.386878665161
K07448	19926.845092023563	6294.899104686758	7772.204996855431	24147.805047894166	6468.7166588920445	11955.570712124836	10815.373516212232	521.254012271849	2608.638575603163	1719.2372003704043	3249.9281078747244	308.4160739246057
K07449	0.15673263923138642	0.05904997717975352	0.025570024381360038	0.12717986459481528	0.22046601861682089	0.153357781478247	0.22657924106496152	0.06431336233151397	0.12076133544828914	0.11756549341292993	0.3976472178608925	0.011323110845775794
K07450	1.0144038569521838	26.217416755224058	1.4120235795147005	9.74532366225114	60.79016184554223	23.345863330254183	25.335552315359358	3.296147463234493	3.5392149216859963	5.214838234524605	27.7372217380316	0.0021416624882556307
K07451	38589.22690439278	16727.158937585595	13020.289835778849	32674.65339205542	20241.896103312247	75804.88774537177	34295.05166401766	5223.968517596624	2385.904646707319	3235.46134326632	41323.306119971014	689.196916266716
K07452	13403.202409564312	16630.158728056962	2659.0474084170373	6550.73063203007	4427.7619778774915	14345.996825461252	6923.032394120175	1055.8887192387897	838.6223169438333	619.5082224602402	7153.332764134602	119.23309886707881
K07453	846.2359690215543	70.97038735704082	12.626765079403004	110.04777747093746	278.0240038646785	36.950801244721596	64.56686228207346	4.151893238187235	19.47128113308131	15.360132439690299	5.954116263480354	2.646502553295819
K07454	7395.47088982929	15658.832541582693	9159.601199142446	12120.735372893281	2357.365215353565	884.277664143698	1094.8573685270233	168.0126101288194	658.8562106055002	321.03298748007217	364.3639941685327	49.0215559257263
K07455	5724.5822076844215	25296.019141573302	3015.3463631759832	11014.732895736428	3310.456572853467	14273.757529760183	7296.956224263741	1016.4838254324112	466.7772665029124	1385.9250733322997	6857.654795119581	88.59677019980705
K07456	126510.29893647689	256060.4841098976	95742.49797906718	197155.36712042557	38618.379551078746	90640.40812488973	53370.997247952546	6016.441014355736	6599.629120558446	6737.359342593878	38360.65724237944	1648.3191134113372
K07457	724.8147863601628	1945.2369889136487	304.6704507910453	1710.1636764670263	2659.1435893678604	1153.7438488792618	1619.4585489328824	330.1873527783445	512.3035732655832	409.135999239217	446.3754382044013	86.09877532088201
K07458	86771.58753165563	132204.17579993702	79593.2060951581	136474.64827764002	14717.553664281608	12364.102334566363	11221.565999977076	227.57485144730663	1956.410198072784	1571.2464348993763	2042.603280106985	793.4970911031147
K07459	22956.84336920668	27260.14805879035	25285.786164789017	63330.59887075395	8150.11620354526	2545.7216577284526	2469.6859785922716	234.80401709019037	1013.937396177605	385.1276216295382	1010.0585501264618	469.6050476558317
K07460	111379.97179581292	173329.91607454975	90499.12306655478	177809.71687106794	35863.26792971937	84869.99361316474	48896.8018072218	5224.4969430840865	5845.129611296773	5680.58962560882	37431.225444639196	1473.8873570418364
K07461	21197.884046096005	26974.261389469695	3457.3021380014516	21403.512586453406	12544.67783797047	67030.02013155869	31311.146624511144	5164.249939562834	2582.097323387331	1952.213884953745	36027.20464533842	492.99496457454984
K07462	125326.94740099055	245000.02582966	100114.59912773385	196575.56949921133	40422.06524294221	90683.49454052998	53348.39995100942	5966.717224351819	7055.0992728950805	6585.2190609905365	39418.82401305373	1635.7311234364001
