	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
K00013	107540.85212925618	193126.92759088083	75274.04946971576	145066.2752578795	47478.751715741724	44364.11400401163	72513.46243104625	18947.515729078823	59648.49363296043	27130.72408113903	11951.002651619607
K00014	139477.7421108085	201924.70438119743	94486.19013587516	188876.29446812053	69304.18861711377	63923.14419153796	103092.99283556815	22068.763545556933	79354.06320105941	34646.68974077074	14052.86359096653
K00015	1412.6046487986837	599.610152189903	124.5939707310835	5801.559613318724	447.02236384857974	281.5098286462749	429.68626933978595	1216.1114474303918	369.408865485487	229.4966896642641	131.7587623551232
K00016	43682.145173739824	78964.01714861991	15706.34121605385	51480.44855266982	24644.132434000057	45547.502367148794	60650.68035665062	24905.158645019364	74393.516881071	18121.541059390132	17771.20711446247
K00018	90290.47033201666	137085.37179012157	64013.32406085064	142851.26591796568	44790.976911895355	32621.270249975176	77770.16710217146	10367.66660132346	53809.13520787192	20006.341760389118	8390.97617695444
K00019	1594.862139700269	1604.0351545946	92.83741384517539	4665.339189613393	1084.1266760387932	553.2796883139688	962.1815662685026	1557.2703861659718	1159.203687283541	402.5794343855463	402.3104823180601
K00020	14483.988141594185	19903.903492854282	13570.90110827918	24031.044898093405	3259.078292686058	4783.346187680296	7522.682007452222	6373.690748905648	6197.97688771831	4401.233234607547	2741.282194333318
K00021	0.3592870552768257	0.5734846380703951	0.08554026633187106	0.3615006138581546	0.20332893521337558	0.8551591272141512	0.11711506645946707	12.293398779120443	39.654787685309046	137.81543370118962	484.96434279698707
K00022	0.011776986146066957	0.06658033061890561	0.013885765271558902	0.09497920343049421	0.021198575062920517	0.09402192969027914	0.022609294259026937	0.284965738302156	0.06131863868788924	0.05751179854478796	0.08191100481201338
K00023	1435.0929586312873	379.4907100056216	150.6841520116198	5964.449996243024	389.08339944143586	135.8813321688558	168.31468100069785	981.1659857641315	314.2891841761293	297.2945195769012	237.90304784941713
K00024	139269.18928047997	345234.7283355179	137195.88394452143	267927.11516708776	30081.14887712965	19749.331329319793	109839.65974863713	2716.495109016144	44888.41645337623	27044.78195036853	6879.687019511948
K00027	55140.21297963163	31976.17258371709	15158.388184912215	41577.82585446988	42002.17051774786	46806.94381763117	51536.52529089152	22577.67542789312	61887.915364180066	18615.12073276595	12330.603700628986
K00028	2.625948253410948e-12	1.484560656960831e-11	3.0961487608016903e-12	2.1177784389426443e-11	4.726706856139745e-12	2.096433832818667e-11	5.041258946387862e-12	6.353962495119423e-11	1.3672392084605745e-11	1.282357005995461e-11	1.826393080143621e-11
K00029	86735.45145817626	205142.75790843266	102933.8909104496	188352.4607881857	20689.916189954452	13598.498754225693	82172.40361314015	2079.505912833741	32438.337629199	21478.722577175387	4905.111058370691
K00030	3460.4659821510973	5126.026819029437	734.8162855663209	6149.329275317511	4209.979155564351	5284.559218602438	3739.700732497081	7602.026187357829	9001.41909119174	4675.60008600841	3036.8387073300682
K00031	68934.50018067524	139036.18903718275	43007.94086889412	54570.89908618637	31140.473034862207	30708.15198816164	37671.14343404134	11831.798074824092	34443.94585171057	12270.178559375752	6167.411585754091
K00032	7.100000000011155	17.210000000063065	1.3700003467240423	8.996347991748947e-11	2.007910693153019e-11	0.000113840516051099	5.190002970490389	93.61841949915872	5.460000000058081	6.560000000054474	19.157915500795912
K00033	61285.572219797374	173728.70268299105	47436.00753101964	97187.99887737993	13302.583782399386	16363.938889920275	51098.57777037558	9768.22947022632	29816.955715916436	11136.88425672502	6582.423237905731
K00034	5329.893819191908	943.1812138549122	1042.1576163130626	3789.0167458230944	4105.054397143278	5831.613493773091	3732.0822631911633	8620.153132819163	7891.224581665512	5127.322798029614	2862.2303540413604
K00035	0.0	11.412080995230122	0.0	0.0	0.0	0.0	0.0	23.000000000048356	8.0	0.0	2.7886047988697074e-11
K00036	59037.29764780875	175568.40494018284	47929.65929341074	98783.35169954295	11750.166560595826	14699.810923003472	51756.15281665152	9424.342216949917	26991.058554663512	11100.67541382711	6160.141223481475
K00038	3.51961499826286	152.0743606906444	2.0946154711749942	8.64124924846082	6.857224078032666	5.845931485530443	157.8565972752811	98.64268147748432	8.550963878787982	1.7079129503873716	42.95579509927798
K00039	0.00043298424413437046	2.6003018834463165	0.0010569060007995735	8.470065912663367e-05	3.0922961171139424e-05	0.00016673283937047864	6.856421035306446e-05	258.000263551532	59.000219851266074	152.0002265695541	59.00023262857084
K00040	23783.34282412135	6482.465693939476	6132.610974511793	6979.470258832644	7991.984691210033	8646.857638293353	7039.672470017467	8133.532737356203	8788.486643002649	5793.406248215591	3624.90056917339
K00041	59674.20235572397	84341.68721310113	44179.73097350185	78188.7747325622	13716.62566763033	10089.886511431569	37269.66481550707	5506.699807633615	17688.521845535975	10033.610401096092	3867.7736289970367
K00042	21198.47613634503	19459.657280164418	3605.9164371782717	10326.898383094678	7422.450717816498	7947.439737541827	6002.843582903719	10108.941698366434	9738.246884391076	5925.058653122127	3787.4648681169624
K00045	3396.537570374063	34589.1014322597	1.4166753140268389	5453.738681308031	427.14978040335956	64.57283476160332	268.5762798297124	102.26144797630585	508.78734336291944	6.874662187996693	21.844908726541878
K00046	91275.10740824213	156300.94699403486	49802.3458240799	93276.44877401408	25255.020978399625	18994.385382759036	43850.79000057743	11941.551193265617	34120.92271927634	15043.302279530464	7679.7055001853705
K00048	56427.790342185064	161007.81934747827	35650.98624098883	86416.68603012853	19574.644766240748	21233.908142349617	43109.075162985944	7353.3111912516015	34511.72962756966	8932.608150975919	4943.909780887427
