	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
PWY-4722	135.52743055853057	2078.7173734504277	60.72101097005677	1122.1298299700582	7.2502371719063134	426.1041685815411	67.96476911593817	82.50141195409712	62.571271891600325	14.981886158447269	154.40387735557678
PWY-4984	25592.395437895422	56931.677342915296	26014.580028753855	24630.723171948837	13272.42616372022	7130.509376199398	18934.623512794347	5281.260141498844	12670.206297267287	6431.815940560481	2479.4495301167785
PWY-5005	9744.44467827137	13225.91853912863	728.1656857361357	4824.191798295059	4168.697474916597	3575.0123027768354	2894.8656294787233	463.5274889803491	4532.6352214203325	895.120153941485	418.0173101928728
PWY-5022	12073.519288575199	10306.393946434755	3444.830930140582	13382.415398508834	11580.67555918553	14417.254549822901	12497.145435019023	8320.406227655318	22226.97120544531	5544.232772642171	3983.245110830611
PWY-5028	41.229684587896166	256.0289974006126	52.059925691257206	74.79763806392876	16.744411658263612	45.79626858079495	82.59610461202954	1404.5079156370007	400.7955196717081	1090.9859607933438	444.69904608457676
PWY-5088	165.1412548182592	220.7405220967165	3.030067678555253	163.7050841459067	192.10806459575412	26.711076575325613	67.6687893757927	27.296394910242604	213.0244252170589	30.34839564769112	8.426975257193282
PWY-5097	139669.3873554794	235539.94656915765	97371.51098677512	200117.64082312	60961.38838487312	56904.63059433717	113979.70004998162	24992.432590086388	84008.78471265225	34738.02231404617	16375.126003739091
PWY-5100	146642.95951616467	228302.8728016016	94802.04406910192	203498.06922192592	67592.21428904479	70996.15487064495	134329.62538753534	30782.347594156694	98711.17301598816	38498.21855369846	19803.118922784568
PWY-5101	157680.76231139482	270712.51543154655	111388.9529654524	216202.832509137	72600.80241740457	67409.99679983276	110392.48601154362	28112.63356488371	93233.61892378394	40084.81804754731	18124.990350990145
PWY-5103	134186.14799766408	233278.26991508168	96406.07152201206	188165.74645569254	59630.53612998827	55559.04271015192	93838.92786470811	22693.6151187175	75330.5836754667	33490.85354123825	14671.214251972271
PWY-5104	154264.16729027568	245436.9841011429	104091.1526143293	205211.5182972689	73227.24986889487	68839.63780571806	110466.0805482102	28254.499817062057	93228.5465869481	39798.58101309757	18367.32153375546
PWY-5121	125222.87293179438	208201.72505874178	98711.25852375416	196114.74028595156	57436.731489674836	52299.165818222566	110149.1192166031	20141.932220226314	78509.49423699174	33489.608925927736	14068.759307186088
PWY-5154	81295.8489889554	110966.74913674484	60228.722570754944	82872.93087056992	28081.298875783763	23591.794281651964	60075.56906538941	9504.148538984504	40894.26834087556	21055.900752568177	7752.082739684005
PWY-5177	4632.006502686637	1420.593328532728	1803.9672672411825	6943.855466733741	3571.7046690122597	3161.7682936752653	2756.2186558625776	1946.3340809022066	7034.933129296953	2599.947366445114	1418.0175725365511
PWY-5178	51.561345655088004	113.62054342925472	27.8174332105568	40.80089340432329	14.147101738059899	43.20148321884324	45.21552289754046	461.66899729851224	109.70255073137037	120.80097951876583	95.30303069490675
PWY-5179	0.0	0.0	5.286766724116475e-05	0.0	0.0	0.007098899001241307	0.00045294718888792715	0.0019160937568765983	0.0	0.0	0.0
PWY-5180	10973.629455430839	888.0430175391857	1235.6330028625687	1511.9746082644256	2974.2132814276197	1581.8729672606446	1460.639977796197	1577.0027003672444	3712.2419866143937	949.9397856317589	1714.0175589264024
PWY-5181	29.739285323301388	149.78862427892156	23.280490776614613	30.153480053798	10.23283169070789	34.342910410614714	46.88496107300688	580.5982748215309	147.9648703554376	194.9791823759569	173.59894501691056
PWY-5182	10973.629455430839	888.0430175391857	1235.6330028625687	1511.9746082644256	2974.2132814276197	1581.8729672606446	1460.639977796197	1577.0027003672444	3712.2419866143937	949.9397856317589	1714.0175589264024
PWY-5183	36.27258855860789	119.39293386588487	26.066119474884342	33.141761903010114	12.491303526022303	38.82222456487681	44.49698333444329	465.6505651312648	83.40871263399323	106.02068888222297	96.26822823986669
PWY-5184	1.0542705093585611	3.6104257540366684	0.3699221388985639	2.4387837695688015	1.3205218247965087	2.2265203985544346	1.1306312977674942	21.248841517427987	2.1610154224793567	1.109429813692261	10.837432921829691
PWY-5188	34809.95790753381	35078.44791635071	23497.72626778008	27350.565900514448	20015.48244166393	20615.753179307227	18999.958780956073	11903.746609762113	30792.976198542634	13124.70565993573	7039.415948638384
PWY-5189	28425.05104651242	33065.22437831629	21126.93331454751	24931.456222182904	17447.605147292317	18059.497374598555	16723.71710324354	10624.190538138251	27057.272164836355	11720.648293650276	6264.255890134992
PWY-5198	0.004848484495982193	11.793166152998747	0.5464770651932249	14.650474517524923	0.00872738957603154	3.0860702688329034	5.041334942741536	90.90383962990911	0.025245166613920962	0.02367718154110694	45.95804867817932
PWY-5265	131.45236267279697	6319.934670923762	487.87776145955235	1797.628623533441	264.6008738135847	668.9737486337423	1163.9016970523237	2906.080379959646	758.2146869041726	580.3468371037789	834.057570261911
PWY-5266	10973.629455430839	888.0430175391857	1235.6330028625687	1511.9746082644256	2974.213281427619	1581.8729672606446	1460.6399777961967	900.0833088415479	3712.2419866143928	949.9397856317587	696.8845013788542
PWY-5273	10973.629455430839	888.0430175391857	1235.6330028625687	1511.9746082644256	2974.2132814276197	1581.8729672606446	1460.639977796197	900.0833088415479	3712.2419866143937	949.9397856317589	696.8845013788542
PWY-5304	14557.06901154522	183334.073198746	16674.817017867616	23594.616486408275	6351.84553375615	12154.029307276	7165.209096181398	1445.1138967723805	5676.120734787948	2658.9076964855262	1889.223347286697
PWY-5345	29866.310440787543	24142.846128346195	35088.59321690361	35898.14607365982	5168.742530302695	6143.783698257594	20486.122684195794	5999.816324631725	8541.264180167904	8508.510173455898	3383.683599249004
PWY-5347	85597.37547983216	102145.1721908042	72930.70100307438	138539.00508357218	33507.90321455889	39442.96867940221	79505.2627130764	16556.11017157756	52378.66488945844	25896.510946511004	13633.46661067859
PWY-5384	18552.255443178583	14480.94640014425	22655.713832429472	6294.877031384015	7667.384919974839	9870.07065267046	7589.170685228644	4979.595291312376	14629.947082087556	4351.839571308797	3125.5234272164644
PWY-5392	6.102397630499523	10.0687161614557	2.352595077777906	15.685338799321224	4.057576451121811	14.107843166928342	3.123958497529209	39.27938980133537	9.818157563313086	7.943447834478583	11.30546571399567
PWY-5415	5907.131293134463	543.4686606923052	274.1475928983248	571.6145996222987	676.8410122032534	1019.0692486623494	619.5704502714832	898.3928691631702	1661.3704320362447	789.9028856128992	753.0833687437583
PWY-5417	35.23966664313142	138.93903428825593	32.66708803758073	32.4279113274231	15.161642652973667	51.829052304342724	48.05926871884927	874.5314237927652	140.48973831472824	307.45559850236	197.7487240562787
PWY-5419	23.532647817226163	78.22562321794368	120.77298522679617	46.741068404498755	18.07441314906043	66.17403710077393	31.050713897626363	646.063922391936	119.05441259216907	291.32481658517594	163.2204044474889
PWY-5420	41.129758299098754	131.05872616888553	200.5325807506903	80.49975471967466	31.526842032814866	113.35126555752299	53.74507749937837	817.7453326509584	204.83105908181378	437.24038154761223	253.2198163608035
PWY-5430	32.59456420010476	89.48077446492942	30.033126930197138	43.085533662711136	14.048394815719911	43.66715816785533	35.10245063588571	455.1735909611337	90.20220063268349	95.4871521680731	76.80723410575662
PWY-5431	35.23966664313142	138.93903428825593	32.66708803758073	32.4279113274231	15.161642652973667	51.829052304342724	48.05926871884927	874.5314237927652	140.48973831472824	307.45559850236	197.7487240562787
PWY-5484	127500.1671802807	257287.8038505862	97993.23149932544	198156.0457640954	49370.20284249866	51880.06066537746	120654.87089025218	19517.356137275165	79796.66855790187	30094.8777490833	15430.758377417324
PWY-5505	81827.39645303306	30926.671829546904	10321.972324718045	21750.7525067524	42013.713619816626	42964.55038831527	37827.57520925733	11232.796074107815	41138.91895131643	14287.8008681761	7770.055822068143
PWY-5507	1082.5602612582811	6548.520045270841	318.040662297173	10701.192522952088	2429.0890907961384	6062.194569779613	5920.977962517801	3924.751767735393	9191.058023130015	2970.9901700045407	2632.850979570585
PWY-5509	65180.57731270965	141897.56466753452	53575.417003975206	88301.92067167115	21296.18108558761	25862.00175505086	58839.92790811138	13682.252388575806	34634.10419520819	16901.345783848068	8213.015480442975
PWY-5519	0.0	0.0	0.0	0.0	0.0	0.014357668437205843	0.0	0.0	0.0	0.0	0.0
PWY-5529	0.4543054965695436	243.82036836365427	4.492492393966521	11.793080649528752	32.38317825182355	2.892978678158365	78.84287854276666	34.675009820823966	18.242310121546307	2.2223843221365813	1.8043139763315228
PWY-5531	14.220029172177068	301.0402978229335	4.539652697327434	14.181683831235171	26.998539467897846	30.086312159701382	84.49671080320765	382.09839912804864	41.28502641566278	27.2631861875995	21.15309291672611
PWY-5532	46.07838633536283	315.9185321733397	95.7132260311674	2241.6007227321224	31.68143793626519	75.26464443991843	102.20072833570772	506.03356524716804	161.28531806640794	259.6760702823597	185.04071995382768
PWY-5634	0.0	0.0	6.136354629009383e-09	0.0	0.0	4.868565110426811e-10	5.2573616818448406e-08	2.2240139575307255e-07	0.0	0.0	0.0
PWY-5647	12.018616597530853	5.2230880102132975	15.020964172451386	7.332973297423937	9.7097423417495	34.77664190956392	2.5154631852403733	520.2118352143405	77.05780017398051	187.15695318028673	84.2450662132615
PWY-5651	21.70702569289993	5.477370252562889	15.735103963618387	8.36402288837788	17.601214414165252	46.25600790860188	2.6523736170764685	831.6829627253034	128.88199804400966	250.17293959761582	130.74691362936915
PWY-5654	12.148511294848275	52.12670208049833	16.201761559549382	21.015370539424485	10.006187524809217	35.58662350258777	19.623196931419308	521.4769875352385	77.49597905338277	193.70951030881176	87.85519294699643
PWY-5655	20.092348718516032	8.402189782744825	21.094999652716943	11.687307265955448	13.998846418509531	41.087244821433	3.9923916669928547	721.4389678038501	102.23185209840727	145.15217606378127	98.7073663528157
PWY-5656	0.5389020075875345	0.52210507374155	0.3905420162762569	0.7750779857219919	1.1116564665598943	3.1731842657278286	0.21762498861577445	44.93052066281824	4.460830703045569	3.0797374400081106	2.3138999811710277
PWY-5659	121730.00319171257	230443.35473466376	117207.35856846931	223954.1261687157	41606.946160207044	40295.2854082053	134604.24186174318	20055.42576586408	66471.57371569084	34718.37026045129	14952.432450505528
PWY-5667	125650.53731472926	231319.14532072432	97242.33319789868	200852.4053340087	63732.99994867709	64330.52019645786	117151.242948018	26820.41756750447	93812.64022570981	34538.71224137854	17377.185413257135
PWY-5676	40557.22638717374	12762.193668014337	8356.808236483428	28499.51090650034	32830.862815539454	31378.572887362196	18676.551607001566	14036.905238203295	54426.08890757605	16349.505808929567	8879.979284779904
PWY-5677	14890.256152038024	5300.772253414711	1906.0057166929062	6042.247655317414	7205.118181390118	7870.452343776485	3874.550532361128	7799.706812089605	10720.414449717562	5755.828778849892	3368.2659232405986
PWY-5679	0.0	0.0	0.015150574697899218	0.0	0.0	0.002100784313248957	0.12980132785133813	0.5491008791080532	0.0	0.0	0.0
PWY-5686	138252.02735090273	232642.27328495646	107590.1158420912	216133.2963354998	63629.39316210907	61196.49022604686	128413.58998685518	24172.86113280395	91451.43221026173	36815.22482817513	17002.68315806666
PWY-5695	139374.0415805176	249869.43186820764	100801.7483174908	218132.98960157874	48586.346949026214	38134.43212913988	121509.24779626168	17460.5551623273	74452.46488854638	33876.81951886229	14272.568462388363
PWY-5705	2552.7417845624245	2581.6869231992227	687.8722691235916	4470.455664931392	1271.0905236020053	1384.7578435812259	773.1697130803328	1392.1900949982235	1462.3947385144088	567.1953578974104	460.27802515311225
PWY-5724	0.0	0.0	0.0	0.0	0.0	0.002024197204947074	0.0	0.0	0.0	0.0	0.0
PWY-5737	0.0	0.0	0.008851836995322201	0.0	0.0	2.1645321815970665e-05	0.07583829949246512	0.32079018595174025	0.0	0.0	0.0
PWY-5741	0.0	330.75472629829125	0.0	7964.301856468493	14.632180555034669	0.3748853900869012	130.6705453067891	0.9025699529992864	0.0	0.0	1.2204692759902585
PWY-5747	217.83026963593733	285.56241060684766	407.69353826154924	2536.0932032280616	36.949020955576025	111.21450730033115	102.11725209826766	741.7921983239256	218.22115861741042	296.0810825893789	218.02594344341585
PWY-5757	0.0	0.0	1.1780409999986632e-09	0.0	0.0	2.2524735999985443e-09	1.0092946599963683e-08	4.269602919940152e-08	0.0	0.0	0.0
PWY-5823	0.023910274732646352	0.36044610273376476	0.0281923820666159	6.042163459159639	0.5714405683085746	2.7212976301027267	0.04590355593516461	0.9515670906063136	44.23318382843569	31.8231388720061	11.006321716414517
PWY-5837	6355.72901098907	1572.971008227751	23313.947653301104	1406.1623800997118	436.2285732249228	1410.8214757814128	7885.823001966598	520.1961267677923	1312.6683032752237	4617.071122991032	906.8373988060529
