group	NC	NC	NC	NC	NR	NR	NR	NR	NR
id	S210421121673	S210421121674	S210421121675	S210421121676	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.0024821451284047593	0.0011286766831485303	0.006980968039045217	0.0002706121633724289	0.008125095814809137	0.0017333333333333333	0.0006298616066316058	0.003109711954017945	0.001441926901752652
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	2.6979838352225643e-05	8.044020904399325e-05	0.00027975519268676885	0.00030927104385420446	0.0001447868226957603	0.0	0.0	0.00026325603843538163	7.446570854121677e-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014	0.0056734745792108784	3.519259145674705e-05	0.0	0.009598140937391943	0.0	0.0004888888888888889	0.0	0.00039488405765307244	0.0015705494892329355
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	0.0	0.0006937968030044418	0.0	0.011913378335133834	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales	0.0	0.0007189343683306897	0.0	8.590862329283457e-05	0.0	0.0	0.0	0.006115218392821886	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales	0.0	3.770634798937184e-05	0.0	0.0010416420574256193	0.0	0.0	0.0	0.0009488186385275213	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales	0.0001310449291393817	0.00028908200125185075	8.607852082669812e-05	0.0003694070801591887	5.535966750132012e-05	0.0009925925925925927	0.00010571103887523455	0.003049382445209837	0.0019834956911433193
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales	0.0008980431908669393	0.0	0.0029481893383144103	0.0002813507412840332	0.001984431158124244	0.0005333333333333334	0.0003920117691623281	0.008500976241142532	0.0006769609867383343
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales	0.0017960863817338786	0.0001633941746206113	0.00021519630206674528	0.0005992126474675211	0.00022569710596692048	0.0	0.00113198904128897	0.0006142640896825571	0.0003181716637670171
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0.00010021082816540953	0.0001860179834142344	2.151963020667453e-05	0.0	0.0	0.0	0.000290705356906895	0.0001645350240221135	0.00014893141708243355
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group	0.0023511001992653777	0.00022372433140360623	3.8735334372014154e-05	0.002755519092117669	0.0	0.0004740740740740741	0.00011452029211483743	0.0003510080512471755	0.0002640147848279504
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales	0.0002389642825482843	0.0005178338457207066	0.0	0.00474430372134679	0.0	0.0008148148148148148	0.0	0.0001645350240221135	0.0004400246413799173
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	0.0	0.0	0.0	3.221573373481297e-05	0.0	0.0	0.0007267633922672375	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales	0.0	0.0013373184753563878	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales	0.0002505270704135238	0.0002337793575341054	0.0	0.00013530608168621446	0.0	0.0	0.0	8.775201281179387e-05	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__uncultured	0.0	0.00012820158316386425	0.0	0.0	0.0	0.0	0.0	0.0012943421889739595	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales	0.0	0.0	8.60785208266981e-06	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0.0	3.267883492412226e-05	0.0	0.0	3.832592365476008e-05	0.0	7.487865253662448e-05	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales	0.0	0.0	0.0	0.0	0.0	0.0004148148148148148	0.00027308685042768923	0.00046618256806265496	0.001638245587906769
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales	0.0	1.7596295728373524e-05	0.0	0.0	0.0	0.0	0.0	3.8391505605159816e-05	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037232854270608385
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	0.00010406509078715606	4.7761374119870993e-05	0.0	5.1545173975700744e-05	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.678301121031963e-05	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9360507206634055e-05	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	0.0	2.0110052260998313e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
